West Bengal|Coochbehar Government Medical College & Hospital, Coochbehar|150
West Bengal|Diamond Harbour Government Medical College and Hospital|150
West Bengal|Employees State Insurance Corporation Medical College, Joka, Kolkata|150
West Bengal|Govt. Medical College, Kolkata|250
West Bengal|Institute of Postgraduate Medical Education & Research, Kolkata|250
West Bengal|Jalpaiguri Government Medical College|100
West Bengal|Jhargram Government Medical College & Hospital, Jhargram|150
West Bengal|Malda Medical College & Hospital, Malda|150
West Bengal|Midnapore Medical College, Midnapore|200
West Bengal|Murshidabad Medical College & Hospitals, Murshidabad|150
West Bengal|Nilratan Sircar Medical College, Kolkata|250
West Bengal|North Bengal Medical College, Darjeeling|200
West Bengal|Prafulla Chandra Sen Government Medical College & Hospital|150
West Bengal|Purulia Government Medical College & Hospital|150
West Bengal|Raiganj Government Medical College & Hospital, Raiganj|150
West Bengal|Rampurhat Government Medical College & Hospital, Rampurhat|150
West Bengal|RG Kar Medical College, Kolkata|250
West Bengal|Sarat Chandra Chattopadhyay Government Medical College & Hospital|150
West Bengal|Tamralipto Government Medical College & Hospital|150
